UID          PID    PPID  C STIME TTY          TIME CMD
root         781       1  0 08:02 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        790     747  0 08:02 ?        00:00:00 avahi-daemon: chroot helper
root         827       1  0 08:02 ?        00:00:00 /usr/sbin/ModemManager
root         832       1  0 08:02 ?        00:00:00 /usr/sbin/cupsd -l
root         837       1  2 08:02 ?        00:05:02 /snap/multipass/10244/bin/multipassd --verbosity debug --logger platform
root         840       1  0 08:02 ?        00:01:17 /usr/bin/containerd
root         870       1  0 08:02 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
lp           874     832  0 08:02 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         877       1  0 08:02 ?        00:00:00 /usr/sbin/gdm3
root         932       1  0 08:02 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
rtkit       1009       1  0 08:02 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1234       1  0 08:02 ?        00:00:00 /usr/libexec/upowerd
root        1316       1  0 08:02 ?        00:00:11 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/2904/config/daemon.json
root        1367       1  0 08:02 ?        00:00:13 /usr/libexec/packagekitd
root        1655       1  0 08:02 ?        00:00:00 /usr/sbin/cups-browsed
root        1656       1  0 08:02 ?        00:00:08 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    1670       1  0 08:02 ?        00:00:00 /usr/sbin/kerneloops --test
colord      1676       1  0 08:02 ?        00:00:01 /usr/libexec/colord
kernoops    1681       1  0 08:02 ?        00:00:00 /usr/sbin/kerneloops
nobody      2119     837  0 08:02 ?        00:00:00 /snap/multipass/10244/usr/sbin/dnsmasq --keep-in-foreground --strict-order --bind-interfaces --pid-file --domain=multipass --local=/multipass/ --except-interface=lo --interface=mpqemubr0 --listen-address=10.126.63.1 --dhcp-no-override --dhcp-ignore-clid --dhcp-authoritative --dhcp-leasefile=/var/snap/multipass/common/data/multipassd/network/dnsmasq.leases --dhcp-hostsfile=/var/snap/multipass/common/data/multipassd/network/dnsmasq.hosts --dhcp-range 10.126.63.2,10.126.63.254,infinite --conf-file=/var/snap/multipass/common/data/multipassd/network/dnsmasq-gtqwvl.conf
root        2183    1316  0 08:02 ?        00:00:29 containerd --config /run/snap.docker/containerd/containerd.toml --log-level error
root        2416     837  1 08:03 ?        00:02:24 /snap/multipass/10244/usr/bin/qemu-system-x86_64 -bios OVMF.fd --enable-kvm -cpu host -nic tap,ifname=tap-1e376645a40,script=no,downscript=no,model=virtio-net-pci,mac=52:54:00:c6:e8:6a -device virtio-scsi-pci,id=scsi0 -drive file=/var/snap/multipass/common/data/multipassd/vault/instances/primary/ubuntu-22.04-server-cloudimg-amd64.img,if=none,format=qcow2,discard=unmap,id=hda -device scsi-hd,drive=hda,bus=scsi0.0 -smp 1 -m 1024M -qmp stdio -chardev null,id=char0 -serial chardev:char0 -nographic -cdrom /var/snap/multipass/common/data/multipassd/vault/instances/primary/cloud-init-config.iso
root        2424       2  0 08:03 ?        00:00:00 [kvm]
root        2425       2  0 08:03 ?        00:00:00 [kvm-nx-lpage-recovery-2416]
root        2429       2  0 08:03 ?        00:00:00 [kvm-pit/2416]
root        2450     877  0 08:04 ?        00:00:00 gdm-session-worker [pam/gdm-password]
bansikah    2464       1  0 08:04 ?        00:00:04 /lib/systemd/systemd --user
bansikah    2465    2464  0 08:04 ?        00:00:00 (sd-pam)
bansikah    2471    2464  0 08:04 ?        00:00:00 /usr/bin/pipewire
bansikah    2472    2464  0 08:04 ?        00:00:00 /usr/bin/pipewire-media-session
bansikah    2473    2464  1 08:04 ?        00:02:38 /usr/bin/pulseaudio --daemonize=no --log-target=journal
bansikah    2483       1  0 08:04 ?        00:00:01 /usr/bin/gnome-keyring-daemon --daemonize --login
bansikah    2487    2464  0 08:04 ?        00:00:08 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
bansikah    2502    2464  0 08:04 ?        00:00:00 /usr/libexec/gvfsd
bansikah    2503    2464  0 08:04 ?        00:00:00 /usr/libexec/xdg-document-portal
bansikah    2510    2464  0 08:04 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
bansikah    2511    2450  0 08:04 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
bansikah    2513    2464  0 08:04 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2528    2503  0 08:04 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
bansikah    2532    2511  0 08:04 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
bansikah    2625    2464  0 08:04 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
bansikah    2641    2464  0 08:04 ?        00:00:01 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
root        2651       2  0 08:04 ?        00:00:00 [krfcommd]
bansikah    2659    2641  0 08:04 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
bansikah    2666    2659  0 08:04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
bansikah    2669    2464  8 08:04 ?        00:19:12 /usr/bin/gnome-shell
bansikah    2700    2464  0 08:04 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
bansikah    2706    2464  0 08:04 ?        00:00:00 /usr/libexec/evolution-source-registry
bansikah    2713    2464  0 08:04 ?        00:00:00 /usr/libexec/goa-daemon
bansikah    2723    2464  0 08:04 ?        00:00:00 /usr/libexec/dconf-service
bansikah    2724    2464  0 08:04 ?        00:00:00 /usr/libexec/goa-identity-service
bansikah    2725    2464  0 08:04 ?        00:00:00 /usr/libexec/evolution-calendar-factory
bansikah    2733    2464  0 08:04 ?        00:00:03 /usr/libexec/gvfs-udisks2-volume-monitor
bansikah    2748    2464  0 08:04 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
bansikah    2752    2464  0 08:04 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
bansikah    2756    2464  0 08:04 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
bansikah    2763    2464  0 08:04 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
bansikah    2772    2464  0 08:04 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
bansikah    2779    2464  0 08:04 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
bansikah    2794    2502  0 08:04 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
bansikah    2839    2464  0 08:04 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
